"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강","원주시(흥양초교)","운영","T/M","10064090","100606","환경부"
"한강","횡성군(춘당리)","운영","T/M","10064100","100601","한국수자원공사"
"한강","횡성군(갑천리)","운영","T/M","10064110","100601","한국수자원공사"
"한강","횡성군(횡성댐)","운영","T/M","10064120","100602","한국수자원공사"
"한강","양평","운영","보통","10071202","100718","기상청"
"한강","이천","운영","보통","10071203","100714","기상청"
"한강","양평군(양평교)","운영","T/M","10074010","100718","환경부"
"한강","여주시(여주대교)","운영","T/M","10074030","100708","환경부"
"한강","양평군(청운면사무소)","운영","T/M","10074040","100716","환경부"
"한강","음성군(생극면사무소)","운영","T/M","10074050","100704","환경부"
"한강","이천시(이천남초교)","운영","T/M","10074060","100713","환경부"
"한강","여주시(금당초교)","운영","T/M","10074070","100706","환경부"
"한강","안성시(삼죽초교)","운영","T/M","10074080","100702","환경부"
"한강","이천시(장천초교)","운영","T/M","10074090","100703","환경부"
"한강","여주시(주암리)","운영","T/M","10074100","100707","환경부"
"한강","광주시(검천리)","운영","T/M","10074110","100719","환경부"
"한강","여주시(상품중교)","운영","T/M","10074120","100715","환경부"
"한강","화천군(평화의댐)","운영","T/M","10094010","100903","한국수자원공사"
"한강","화천군(풍산리)","운영","T/M","10094020","100903","한국수자원공사"
"한강","화천군(화천군청)","운영","T/M","10104010","101008","환경부"
"한강","화천군(다목초교)","운영","T/M","10104020","101008","환경부"
"한강","양구군(방산초교)","운영","T/M","10104030","101003","환경부"
"한강","화천군(명월리)","운영","T/M","10104040","101010","환경부"
"한강","화천군(화천댐)","운영","T/M","10104050","101006","환경부"
"한강","양구군(금악리)","운영","T/M","10104060","101003","환경부"
"한강","춘천시(지촌초교)","운영","T/M","10104070","101010","환경부"
"한강","화천군(상승초교)","운영","T/M","10104080","101008","환경부"
"한강","수입천","운영","T/M","10104170","101003","한국수력원자력"
"한강","양구서천","운영","T/M","10104171","101004","한국수력원자력"
"한강","용신교","운영","T/M","10104172","101008","한국수력원자력"
"한강","지촌천","운영","T/M","10104173","101009","한국수력원자력"
"한강","약수교","운영","T/M","10104174","101004","한국수력원자력"
"한강","인제군(서성초교)","운영","T/M","10114030","101102","한국수자원공사"
"한강","인제군(한계초교)","운영","T/M","10114040","101103","한국수자원공사"
"한강","인제군(백담산장)","운영","T/M","10114050","101103","환경부"
"한강","인제군(덕적리)","운영","T/M","10114070","101104","한국수자원공사"
"한강","인제군(용대초교)","운영","T/M","10114080","101103","한국수자원공사"
"한강","인제","운영","보통","10121211","101206","기상청"
"한강","인제군(신남중교)","운영","T/M","10124020","101206","환경부"
"한강","춘천시(추곡초교)","운영","T/M","10124050","101207","한국수자원공사"
"한강","인제군(남전리)","운영","T/M","10124060","101206","한국수자원공사"
"한강","인제군(현리)","운영","T/M","10124080","101204","한국수자원공사"
"한강","홍천군(창촌리)","운영","T/M","10124090","101201","한국수자원공사"
"한강","인제군(진동리)","운영","T/M","10124110","101204","환경부"
"한강","홍천군(명개리)","운영","T/M","10124120","101201","환경부"
"한강","인제군(신남리)","운영","T/M","10124130","101206","한국수자원공사"
"한강","인제군(상남초교)","운영","T/M","10124140","101202","한국수자원공사"
"한강","인제군(귀둔리)","운영","T/M","10124150","101205","한국수자원공사"
"한강","홍천군(명개리2)","운영","T/M","10124160","101201","한국수자원공사"
"한강","춘천시(천전리)","운영","T/M","10124170","101208","환경부"
"한강","지내천","운영","T/M","10124175","101208","한국수력원자력"
"한강","춘천시(소양강댐)","운영","T/M","10124180","101207","한국수자원공사"
"한강","춘천","운영","보통","10131101","101302","기상청"
"한강","춘천시(소양2교)","운영","T/M","10134010","101302","환경부"
"한강","가평군(가평교)","운영","T/M","10134020","101306","환경부"
"한강","가평군(화악교)","운영","T/M","10134030","101306","환경부"
"한강","목동교","운영","T/M","10134045","101306","한국수력원자력"
"한강","홍천","운영","보통","10141212","101408","기상청"
"한강","홍천군(홍천농고)","운영","T/M","10144010","101406","환경부"
"한강","홍천군(서석면사무소)","운영","T/M","10144020","101401","환경부"
"한강","홍천군(내촌면사무소)","운영","T/M","10144040","101402","환경부"
"한강","홍천군(반곡교)","운영","T/M","10144050","101412","환경부"
"한강","홍천군(매산초교)","운영","T/M","10144060","101411","환경부"
"한강","홍천군(삼포초교)","운영","T/M","10144070","101405","환경부"
"한강","홍천군(노천초교)","운영","T/M","10144080","101407","환경부"
"한강","홍천군(북방리)","운영","T/M","10144090","101409","환경부"
"한강","홍천군(두촌중교)","운영","T/M","10144100","101403","환경부"
"한강","홍천강(성포교)","운영","T/M","10144165","101404","한국수력원자력"
"한강","화천천","운영","T/M","10144172","101008","한국수력원자력"
"한강","홍천강(한덕교)","운영","T/M","10144180","101413","한국수력원자력"
"한강","가평군(하면사무소)","운영","T/M","10154010","101503","환경부"
"한강","가평군(신청평대교)","운영","T/M","10154020","101506","환경부"
"한강","가평군(중미산)","운영","T/M","10154030","101507","환경부"
"한강","산장제1교","운영","T/M","10154035","101504","한국수력원자력"
"한강","광주시(광주시청)","운영","T/M","10164010","101603","환경부"
"한강","광주시(남한산초교)","운영","T/M","10164020","101605","환경부"
"한강","용인시(포곡초교)","운영","T/M","10164030","101601","환경부"
"한강","용인시(운학초교)","운영","T/M","10164040","101601","환경부"
"한강","용인시(모현면사무소)","운영","T/M","10164050","101601","환경부"
"한강","용인시(용동중교)","운영","T/M","10164060","101601","환경부"
