"대권역","관측소 명","운영 여부","관측 방법","관측소 코드","표준유역 코드","관할 기관"
"한강","원주시(문막교)","운영","T/M","1006690","100610","환경부"
"한강","궁촌","운영","T/M","1006693","100610","한국농어촌공사"
"한강","반계","운영","T/M","1006694","100610","한국농어촌공사"
"한강","안성시(한평교)","운영","T/M","1007604","100701","환경부"
"한강","이천시(장호원교)","운영","T/M","1007605","100705","환경부"
"한강","음성군(총천교)","운영","T/M","1007610","100704","환경부"
"한강","여주시(원부교)","운영","T/M","1007615","100706","환경부"
"한강","여주시(삼합교)","운영","T/M","1007617","100706","환경부"
"한강","여주시(강천리)","운영","T/M","1007620","100706","환경부"
"한강","여주시(남한강교)","운영","T/M","1007625","100706","환경부"
"한강","강천보(상류)","운영","T/M","1007633","100706","환경부"
"한강","강천보(하류)","운영","T/M","1007634","100708","환경부"
"한강","여주시(여주대교)","운영","T/M","1007635","100709","환경부"
"한강","여주보(상류)","운영","T/M","1007639","100709","환경부"
"한강","여주시(율극교)","운영","T/M","1007640","100711","환경부"
"한강","여주보(하류)","운영","T/M","1007641","100710","환경부"
"한강","이천시(동산교)","운영","T/M","1007642","100712","환경부"
"한강","이천시(복하교)","운영","T/M","1007645","100713","환경부"
"한강","여주시(흥천대교)","운영","T/M","1007650","100714","환경부"
"한강","대평","운영","T/M","1007653","100711","한국농어촌공사"
"한강","여주시(양촌교)","운영","T/M","1007655","100710","환경부"
"한강","여주저류지","운영","T/M","1007656","100715","한국수자원공사"
"한강","이포보(상류)","운영","T/M","1007662","100710","환경부"
"한강","이포보(하류)","운영","T/M","1007664","100715","환경부"
"한강","금사","운영","T/M","1007672","100715","한국농어촌공사"
"한강","양평군(흑천교)","운영","T/M","1007680","100717","환경부"
"한강","양평군(양평교)","운영","T/M","1007685","100718","환경부"
"한강","양평군(봉상교)","운영","T/M","1007690","100717","환경부"
"한강","양평군(신원리)","운영","T/M","1007697","100719","환경부"
"한강","화천군(평화나래교)","운영","T/M","1009652","100903","한국수자원공사"
"한강","약수교","운영","T/M","1010630","101004","한국수력원자력"
"한강","양구군(송청제2교)","운영","T/M","1010633","101004","환경부"
"한강","하리교","운영","T/M","1010635","101004","한국수력원자력"
"한강","양구군(각시교)","운영","T/M","1010640","101003","한국수자원공사"
"한강","남전교","운영","T/M","1010642","101003","한국수력원자력"
"한강","화천군(화천댐)","운영","T/M","1010660","101006","환경부"
"한강","화천군(오작교)","운영","T/M","1010670","100903","한국수자원공사"
"한강","화천군(신대교)","운영","T/M","1010673","101008","환경부"
"한강","용신교","운영","T/M","1010677","101008","한국수력원자력"
"한강","화천군(화천대교)","운영","T/M","1010680","101009","한국수자원공사"
"한강","오탄교","운영","T/M","1010684","101009","한국수력원자력"
"한강","춘천시(춘천댐)","운영","T/M","1010690","101011","환경부"
"한강","춘천시(춘천댐하류)","운영","T/M","1010695","101012","환경부"
"한강","인제군(반월촌교)","운영","T/M","1011620","101102","환경부"
"한강","인제군(어두원교)","운영","T/M","1011650","101103","한국수자원공사"
"한강","인제군(원통리)","운영","T/M","1011690","101103","한국수자원공사"
"한강","인제군(도리촌교)","운영","T/M","1011693","101104","한국수자원공사"
"한강","인제군(리빙스턴교)","운영","T/M","1011695","101104","환경부"
"한강","인제군(왕성동교)","운영","T/M","1012630","101201","환경부"
"한강","인제군(양지교)","운영","T/M","1012635","101202","환경부"
"한강","인제군(현리교)","운영","T/M","1012640","101204","환경부"
"한강","인제군(하죽천교)","운영","T/M","1012645","101205","환경부"
"한강","인제군(원대교)","운영","T/M","1012650","101205","한국수자원공사"
"한강","인제군(사구미교)","운영","T/M","1012657","101206","한국수자원공사"
"한강","인제군(양구대교)","운영","T/M","1012670","101206","한국수자원공사"
"한강","춘천시(천전리)","운영","T/M","1012685","101208","환경부"
"한강","지내","운영","T/M","1012688","101208","한국수자원공사"
"한강","춘천시(효자교)","운영","T/M","1013610","101301","환경부"
"한강","목동교","운영","T/M","1013620","101306","한국수력원자력"
"한강","춘천시(소양2교)","운영","T/M","1013637","101302","환경부"
"한강","춘천시(강촌교)","운영","T/M","1013645","101304","환경부"
"한강","가평군(가평교)","운영","T/M","1013655","101306","환경부"
"한강","홍천군(용선교)","운영","T/M","1014620","101402","환경부"
"한강","홍천군(주음치교)","운영","T/M","1014630","101404","환경부"
"한강","홍천강(성포교)","운영","T/M","1014635","101404","한국수력원자력"
"한강","홍천군(굴운교)","운영","T/M","1014640","101406","환경부"
"한강","홍천군(홍천교)","운영","T/M","1014650","101408","환경부"
"한강","홍천군(남노일대교)","운영","T/M","1014665","101410","환경부"
"한강","홍천군(반곡교)","운영","T/M","1014680","101412","환경부"
"한강","한덕교","운영","T/M","1014695","101413","한국수력원자력"
"한강","홍천군(모곡교)","운영","T/M","1014696","101413","환경부"
"한강","가평군(대보교)","운영","T/M","1015620","101504","환경부"
"한강","산장제1교","운영","T/M","1015630","101504","한국수력원자력"
"한강","가평군(청평댐)","운영","T/M","1015640","101502","환경부"
"한강","가평군(청평교)","운영","T/M","1015644","101504","환경부"
"한강","가평군(신청평대교)","운영","T/M","1015645","101506","환경부"
"한강","남양주시(삼봉리)","운영","T/M","1015680","101508","환경부"
"한강","용인시(월촌교)","운영","T/M","1016607","101601","환경부"
"한강","광주시(경안교)","운영","T/M","1016650","101603","환경부"
"한강","경안교","운영","T/M","1016655","101603","한국수력원자력"
"한강","광주시(섬뜰교)","운영","T/M","1016660","101604","환경부"
"한강","광주시(서하교)","운영","T/M","1016670","101605","환경부"
"한강","광주시(광동교)","운영","T/M","1016695","101605","환경부"
"한강","남양주시(팔당댐)","운영","T/M","1017690","101701","환경부"
"한강","남양주시(팔당대교)","운영","T/M","1018610","101801","환경부"
"한강","남양주시(부평교)","운영","T/M","1018620","101802","환경부"
"한강","남양주시(연평대교)","운영","T/M","1018623","101802","환경부"
"한강","남양주시(내곡교)","운영","T/M","1018625","101802","환경부"
"한강","남양주시(진관교)","운영","T/M","1018630","101803","환경부"
"한강","남양주시(퇴계원리)","운영","T/M","1018635","101803","환경부"
"한강","남양주시(왕숙교)","운영","T/M","1018638","101803","환경부"
"한강","서울시(광진교)","운영","T/M","1018640","101807","환경부"
"한강","성남시(궁내교)","운영","T/M","1018650","101804","환경부"
"한강","서울시(대곡교)","운영","T/M","1018655","101806","환경부"
"한강","서울시(대치교)","운영","T/M","1018658","101806","환경부"
"한강","서울시(청담대교)","운영","T/M","1018662","101807","환경부"
"한강","의정부시(신곡교)","운영","T/M","1018665","101808","환경부"
"한강","서울시(창동교)","운영","T/M","1018669","101810","환경부"
"한강","서울시(월계2교)","운영","T/M","1018670","101810","환경부"
"한강","서울시(중랑교)","운영","T/M","1018675","101810","환경부"
"한강","서울시(잠수교)","운영","T/M","1018680","101811","환경부"
"한강","서울시(한강대교)","운영","T/M","1018683","101812","환경부"
"한강","구용산","운영","보통","1018685","101711","환경부"
"한강","안양시(충훈1교)","운영","T/M","1018690","101815","환경부"
"한강","서울시(신림5교)","운영","T/M","1018692","101816","환경부"
"한강","광명시(시흥대교)","운영","T/M","1018693","101815","환경부"
"한강","서울시(너부대교)","운영","T/M","1018695","101815","환경부"
"한강","서울시(오금교)","운영","T/M","1018697","101815","환경부"
"한강","서울시(신대방1교)","운영","T/M","1018698","101816","환경부"
"한강","부천시(도두리2교)","운영","T/M","1019620","101907","환경부"
"한강","서울시(행주대교)","운영","T/M","1019630","101903","환경부"
"한강","아라한강갑문(내)","운영","T/M","1019635","101903","한국수자원공사"
"한강","아라한강갑실","운영","T/M","1019636","101903","한국수자원공사"
"한강","아라한강갑문(외)","운영","T/M","1019637","101903","한국수자원공사"
"한강","박촌1교","운영","T/M","1019647","101903","한국수자원공사"
"한강","계양대교","운영","T/M","1019648","101903","한국수자원공사"
"한강","귤현보(상)","운영","T/M","1019651","101903","한국수자원공사"
"한강","귤현보(하)","운영","T/M","1019652","101903","한국수자원공사"
"한강","벌말교","운영","T/M","1019653","101903","한국수자원공사"
"한강","고양시(원당교)","운영","T/M","1019667","101905","환경부"
"한강","김포시(전류리)","운영","T/M","1019675","101906","환경부"
"한강","파주시(교하교)","운영","T/M","1019680","101906","환경부"
"한강","철원군(백마교)","운영","T/M","1021628","102107","한국수자원공사"
"한강","철원군(대마리)","운영","T/M","1021630","102107","환경부"
"한강","연천군(필승교)","운영","T/M","1021650","102108","환경부"
"한강","북삼","운영","T/M","1021670","102108","한국수자원공사"
"한강","연천군(임진교)","운영","T/M","1021680","102109","환경부"
"한강","철원군(장수대교)","운영","T/M","1022626","102202","환경부"
"한강","철원군(삼합교)","운영","T/M","1022630","102201","환경부"
"한강","토교","운영","T/M","1022631","102203","한국농어촌공사"
"한강","철원군(한탄대교)","운영","T/M","1022635","102203","환경부"
"한강","철원군(군탄교)","운영","T/M","1022638","102204","한국수자원공사"
"한강","포천시(용담교)","운영","T/M","1022640","102204","환경부"
"한강","포천시(대회산교)","운영","T/M","1022642","102205","한국수자원공사"
"한강","포천시(영로대교)","운영","T/M","1022643","102205","한국수자원공사"
"한강","연천군(한탄강댐)","운영","T/M","1022644","102205","한국수자원공사"
"한강","연천군(한여울교)","운영","T/M","1022645","102205","한국수자원공사"
"한강","포천시(낭유대교)","운영","T/M","1022646","102206","환경부"
"한강","포천시(포천대교)","운영","T/M","1022647","102208","환경부"
"한강","포천시(은현교)","운영","T/M","1022648","102209","환경부"
"한강","포천시(영평교)","운영","T/M","1022650","102210","환경부"
"한강","포천시(신백의교)","운영","T/M","1022655","102210","환경부"
"한강","연천군(차탄교)","운영","T/M","1022662","102214","환경부"
"한강","궁신교","운영","T/M","1022664","102215","한국수자원공사"
"한강","연천군(고탄교)","운영","T/M","1022666","102215","한국수자원공사"
"한강","동두천시(송천교)","운영","T/M","1022668","102213","환경부"
"한강","연천군(신천교)","운영","T/M","1022670","102213","환경부"
"한강","연천군(사랑교)","운영","T/M","1022680","102215","환경부"
"한강","연천군(삼화교)","운영","T/M","1023640","102301","환경부"
"한강","파주시(비룡대교)","운영","T/M","1023660","102301","환경부"
"한강","연천군(사미천교)","운영","T/M","1023662","102302","환경부"
"한강","파주시(통일대교)","운영","T/M","1023670","102304","환경부"
"한강","파주시(만장교)","운영","T/M","1023674","102305","환경부"
"한강","파주시(아가메교)","운영","T/M","1023680","102306","환경부"
"안성천","화성시(화산교)","운영","T/M","1101605","110113","환경부"
"안성천","금광","운영","T/M","1101609","110101","한국농어촌공사"
"안성천","안성시(옥산대교)","운영","T/M","1101610","110101","환경부"
"안성천","고삼","운영","T/M","1101615","110102","한국농어촌공사"
"안성천","안성시(건천리)","운영","T/M","1101620","110107","환경부"
"안성천","이동","운영","T/M","1101625","110109","한국농어촌공사"
"안성천","천안시(안성천교)","운영","T/M","1101630","110107","환경부"
"안성천","평택시(군문교)","운영","T/M","1101635","110107","환경부"
"안성천","오산시(탑동대교)","운영","T/M","1101645","110111","환경부"
"안성천","화성시(수직교)","운영","T/M","1101650","110113","환경부"
"안성천","평택시(진위1교)","운영","T/M","1101663","110114","환경부"
"안성천","평택시(회화리)","운영","T/M","1101665","110114","환경부"
"안성천","평택시(동연교)","운영","T/M","1101670","110115","환경부"
"안성천","평택시(팽성대교)","운영","T/M","1101680","110116","환경부"
"안성천","아산만(내)","운영","T/M","1101695","110118","한국농어촌공사"
"안성천","아산만(외)","운영","T/M","1101696","110118","한국농어촌공사"
"한강서해","강화군(강화대교)","운영","T/M","1201620","120104","환경부"
"한강서해","아라서해갑문(내)","운영","T/M","1201651","120102","한국수자원공사"
"한강서해","아라서해갑실(남)","운영","T/M","1201652","120102","한국수자원공사"
"한강서해","아라서해갑문(외)","운영","T/M","1201653","120102","한국수자원공사"
"한강서해","아라서해갑실(북)","운영","T/M","1201654","120102","한국수자원공사"
